timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708840806027,17,-2,200,,Thread Group 1-19,text,true,,3034,411,1,1,http://103.94.135.204:8080/mod2/,17,0,0
1708840806044,9,-3,200,,Thread Group 1-19,text,true,,7629,470,1,1,http://103.94.135.204:8080/mod2/application.html,9,0,0
1708840805982,69,,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-19,,true,,13929,1596,1,1,null,57,3,9
1708840806054,49,-7,200,,Thread Group 1-19,text,true,,20651,632,1,1,http://103.94.135.204:8080/mod2/transaction.html,45,0,0
1708840806054,49,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-19,,true,,20651,632,1,1,null,45,0,0
1708840806103,53,-8,200,,Thread Group 1-19,text,true,,1941,1561,1,1,http://103.94.135.204:8080/mod2/applicationsubmission.html,53,0,0
1708840806103,53,,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-19,,true,,1941,1561,1,1,null,53,0,0
1708840806170,71,-1,200,,Thread Group 1-20,text,true,,3266,715,1,1,http://103.94.135.204:8080/mod2/,49,0,40
1708840806170,49,-1-0,302,,Thread Group 1-20,,true,,153,357,1,1,http://103.94.135.204:8080/mod2,49,0,40
1708840806219,22,-1-1,200,,Thread Group 1-20,text,true,,3113,358,1,1,http://103.94.135.204:8080/mod2/,22,0,0
1708840806241,9,-2,200,,Thread Group 1-20,text,true,,3034,411,1,1,http://103.94.135.204:8080/mod2/,9,0,0
1708840806250,18,-3,200,,Thread Group 1-20,text,true,,7629,470,1,1,http://103.94.135.204:8080/mod2/application.html,18,0,0
1708840806169,98,,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-20,,true,,13929,1596,1,1,null,76,1,40
1708840806268,39,-7,200,,Thread Group 1-20,text,true,,20651,632,1,1,http://103.94.135.204:8080/mod2/transaction.html,36,0,0
